,,,,,,,,,,,,,,
,Date,Semaine,Jour,,Arriver,,,,,,,,,
,,,,42-46gr,47-56gr,57-60gr,61-63,64-66gr,67-69gr,70-74gr,75 et +,Casser,Dégât,Total
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,26,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,27,,,,,,,,,,,,
